,Dupla,Mejor_R2,Experimento_Mejor_R2,Menor_MSE,Experimento_Menor_MSE,Provincia,Cultivo,Modelo,Registros,Predictores
46,Buenos Aires-Alpiste,0.5865262163872643,14,42534.18480579042,14,Buenos Aires,Alpiste,Lasso,55,90
337,Buenos Aires-Cebada cervecera,0.68876002231647,14,197663.71518781484,14,Buenos Aires,Cebada cervecera,Elastic Net,55,90
544,Buenos Aires-Centeno,0.7664486064042794,28,81153.0,25,Buenos Aires,Centeno,PLS,55,80
614,Buenos Aires-Colza,0.2704575389577004,16,63993.73760251866,16,Buenos Aires,Colza,PLS,35,100
845,Buenos Aires-Girasol,0.74527793655111,8,57604.20313914902,8,Buenos Aires,Girasol,Ridge,55,78
1003,Buenos Aires-Lino,0.1322179374754135,10,14762.044052026644,10,Buenos Aires,Lino,PCR,37,713
1414,Buenos Aires-Mijo,0.5006080449919676,28,53741.91253155852,28,Buenos Aires,Mijo,PLS,55,80
1536,Buenos Aires-Poroto total,0.7046271453861014,29,64496.0,25,Buenos Aires,Poroto total,Lasso,17,80
1714,Buenos Aires-Soja total,0.6865239321162393,18,106794.14078337332,18,Buenos Aires,Soja total,PLS,55,100
1836,Buenos Aires-Sorgo,0.7402160230959174,30,103157.99725644494,30,Buenos Aires,Sorgo,Lasso,55,80
2181,Corrientes-Algodón,0.2829121710705768,22,57708.75125974004,22,Corrientes,Algodón,Lasso,52,80
2449,Corrientes-Arroz,0.924902641378166,15,152513.85028833302,15,Corrientes,Arroz,PLS,55,100
2465,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Ridge,20,88
2466,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Lasso,20,88
2467,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Elastic Net,20,88
2468,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,PCR,20,88
2469,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,PLS,20,88
2470,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Ridge,20,80
2471,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Lasso,20,80
2472,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Elastic Net,20,80
2473,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,PCR,20,80
2474,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,PLS,20,80
2480,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Ridge,20,100
2481,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Lasso,20,100
2482,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Elastic Net,20,100
2483,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,PCR,20,100
2484,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,PLS,20,100
2485,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Ridge,20,992
2486,Corrientes-Avena,1.0,17,0.0,17,Corrientes,Avena,Lasso,20,992
